ID;Ablauf;Uhrzeit;Szenario;Gebrauchte Zeit;Zeit abseits des Weges;Box;Karton;Zaun links;Zaun rechts;Tisch;Malus aktiviert;Malus1;Malus2;Malus3;Malus4;Malus5;Malus6;Malus7;Malus8;Malus9;Malus10;Malus11;Malus12;Malus13;Malus14;Malus15;Malus16;Malus17;Malus18;Malus19;Malus20;Malus21;Malus22;Malus23
3;2;10.08.2021 11:55;Baseline 1;171,14;11,65;True;False;True;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
3;2;10.08.2021 12:10;Szenario 2;96,97;14,25;True;True;False;False;True;9;4,26;0,62;1,04;1,69;0,96;0,9;0,77;0,97;3,05;;;;;;;;;;;;;;
3;2;10.08.2021 12:15;Baseline 2;83,25;17,44;True;False;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
3;2;10.08.2021 12:27;Szenario 1;80,05;23,11;True;True;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
3;2;10.08.2021 12:34;Baseline 3;75,5;6,89;True;True;False;False;False;0;;;;;;;;;;;;;;;;;;;;;;;
4;2;10.08.2021 12:56;Baseline 1;126,78;4,6;True;False;False;True;True;0;;;;;;;;;;;;;;;;;;;;;;;
4;2;10.08.2021 13:02;Szenario 2;109,41;18,27;True;False;True;True;True;7;1,71;10,88;3,5;0,54;0,21;0,32;1,11;;;;;;;;;;;;;;;;
4;2;10.08.2021 13:06;Baseline 2;85,54;2,64;True;False;True;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
4;2;10.08.2021 13:16;Szenario 1;92,3;2,2;True;False;True;True;True;0;;;;;;;;;;;;;;;;;;;;;;;
4;2;10.08.2021 13:21;Baseline 3;93,05;0,28;False;False;True;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
5;1;12.08.2021 14:21;Baseline 1;142,36;18,17;False;True;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
5;1;12.08.2021 14:31;Szenario 1;81,63;11,41;True;True;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
5;1;12.08.2021 14:59;Baseline 2;66,53;9,88;True;True;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
5;1;12.08.2021 15:02;Szenario 2;71,79;12,13;True;True;False;True;True;12;2,66;0,55;0,25;0,55;1,34;0,24;1,76;0,8;0,18;1,23;0,25;2,31;;;;;;;;;;;
5;1;12.08.2021 15:05;Baseline 3;66,06;11,2;True;True;False;True;False;0;;;;;;;;;;;;;;;;;;;;;;;
6;1;12.08.2021 16:22;Baseline 1;86,42;12,28;False;True;True;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
6;1;12.08.2021 16:36;Szenario 1;73,94;9,46;False;True;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
6;1;12.08.2021 16:43;Baseline 2;50,59;7,23;False;True;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
6;1;12.08.2021 16:46;Szenario 2;59,52;7,06;False;True;False;False;True;9;2,53;1,05;0,42;0,5;0,2;0,13;0,23;0,84;1,16;;;;;;;;;;;;;;
6;1;12.08.2021 16:49;Baseline 3;52,52;10,86;False;True;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
7;1;19.08.2021 15:52;Baseline 1;94,47;42,08;False;True;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
7;1;19.08.2021 16:01;Szenario 1;93,89;50,32;True;False;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
7;1;19.08.2021 16:06;Baseline 2;89;45,74;False;False;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
7;1;19.08.2021 16:13;Szenario 2;107,13;53,43;False;False;False;False;True;23;3,43;1,19;0,53;8,53;0,06;2,46;4,77;1,41;0,52;13,25;3,51;1,89;0,48;0,03;2,13;1,6;0,97;1,97;1,08;0,8;0,63;1,01;1,19
7;1;19.08.2021 16:21;Baseline 3;80,08;35,85;False;False;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
8;2;19.08.2021 17:10;Baseline 1;136,09;20,69;True;True;False;True;False;0;;;;;;;;;;;;;;;;;;;;;;;
8;2;19.08.2021 17:14;Szenario 2;78;19,8;True;False;False;False;False;18;3,44;0,59;1,64;0,46;0,24;0,73;1,42;3,41;0,59;0,86;1,24;0,25;1,44;0,83;1,38;0,35;0,41;0,52;;;;;
8;2;19.08.2021 17:20;Baseline 2;66,08;14,37;True;True;False;False;True;0;;;;;;;;;;;;;;;;;;;;;;;
8;2;19.08.2021 17:26;Szenario 1;67,13;11,76;True;True;False;False;False;0;;;;;;;;;;;;;;;;;;;;;;;
8;2;19.08.2021 17:31;Baseline 3;62,95;12,47;True;True;False;False;False;0;;;;;;;;;;;;;;;;;;;;;;;
